United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
2009,1,5.0,4.8,6.0,4.7,6.2,4.5,6.4,1,1.2,1.0,1.3,0.8,1.3,0.8,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.2,10.5,11.4,10.3,11.7,9.9,11.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.5,1.3,1.7,1.1,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,18.8,17.6,20.2,17.1,20.9,16.3,21.3
2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.8,4.2,6.0,3.9,6.2,3.8,6.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.3,12.0,14.0,11.7,14.3,11.5,14.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.1,1.1,1.4,1.1,1.5,1.1,1.5,7,19.2,17.3,21.4,16.7,22.0,16.4,23.0
2011,1,16.4,14.8,16.9,14.4,17.4,14.2,17.8,2,6.8,6.6,7.9,6.3,8.3,6.0,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,42.9,39.4,46.3,38.4,48.3,36.8,50.5,2,21.2,18.6,23.2,18.1,24.2,17.9,24.7,1,2.4,2.0,2.7,1.9,2.8,1.7,2.9,2,3.7,3.2,3.7,2.8,3.9,2.8,4.0,18,93.4,84.6,100.7,81.9,104.9,79.4,108.4
2012,1,39.9,38.4,43.1,37.6,44.3,37.1,45.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,21.4,19.6,22.0,19.3,22.5,19.3,22.9,2,88.2,73.2,96.5,69.3,101.7,67.1,104.7,1,2.3,2.0,2.5,2.0,2.6,1.8,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,151.8,133.2,164.1,128.2,171.1,125.3,175.4
2013,1,13.7,13.0,14.9,12.6,15.3,12.3,15.7,2,3.3,3.0,4.1,2.7,4.4,2.7,4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,13.8,12.9,14.5,12.6,15.0,12.5,15.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,30.8,28.9,33.5,27.9,34.7,27.5,35.8
2014,1,5.1,4.4,5.8,4.1,6.2,3.9,6.5,1,1.3,1.3,1.5,1.0,1.5,1.0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,15.2,14.5,16.1,14.1,16.6,14.0,16.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.8,2.7,3.1,2.5,3.2,2.3,3.4,10,24.4,22.9,26.5,21.7,27.5,21.2,28.3
2015,1,5.8,5.2,7.4,4.9,8.0,4.6,8.4,2,5.7,4.7,5.9,4.5,6.1,4.4,6.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10.4,9.7,11.4,9.5,11.8,9.3,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.8,3.5,4.0,3.4,4.0,3.4,4.2,1,3.8,3.7,4.0,3.6,4.1,3.5,4.2,11,29.5,26.8,32.7,25.9,34.0,25.2,35.2
2016,1,4.4,3.0,4.8,2.8,5.1,2.5,5.3,4,20.2,15.8,23.7,14.8,25.1,13.9,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,18.1,16.3,18.8,15.4,19.2,15.2,19.9,1,12.4,9.2,13.5,8.9,13.9,8.7,14.3,1,3.0,2.6,3.1,2.5,3.1,2.5,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,58.1,46.9,63.9,44.4,66.4,42.8,68.8
2017,1,3.1,2.4,3.3,2.2,3.6,2.1,3.7,2,4.0,3.0,4.5,2.8,4.7,2.6,5.0,1,1.2,1.0,1.4,1.0,1.5,0.9,1.5,11,23.8,22.1,25.4,21.2,26.2,20.3,27.3,3,323.3,261.0,374.5,234.9,411.8,219.6,427.0,1,22.1,18.2,25.2,17.5,27.1,17.2,27.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,377.5,307.7,434.3,279.6,474.9,262.7,492.2
2018,1,3.6,3.3,4.1,3.1,4.2,3.0,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,16.1,14.7,17.4,13.9,18.6,13.5,19.6,2,58.3,47.6,69.0,41.7,75.0,36.3,80.4,1,28.8,23.8,34.0,22.8,34.8,21.6,36.0,2,4.0,3.4,4.4,3.2,4.6,3.1,4.8,16,110.8,92.8,128.9,84.7,137.2,77.5,145.4
2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,23.7,19.0,27.8,18.0,29.1,17.0,32.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,16.2,15.0,18.3,14.1,19.1,13.4,20.0,2,7.8,4.9,9.8,4.7,10.5,4.2,11.3,1,5.3,3.9,6.2,3.5,7.0,2.9,7.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,53.0,42.8,62.1,40.3,65.7,37.5,71.5
2020,1,5.2,4.5,5.8,4.3,6.1,4.1,6.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,38.9,35.7,42.5,34.3,44.3,32.8,45.9,7,52.0,43.6,57.7,40.9,58.2,38.9,61.5,1,19.1,15.7,22.6,15.1,21.8,14.5,23.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,115.2,99.5,128.6,94.6,130.4,90.3,137.6
2021,1,9.7,9.2,10.2,8.6,11.0,8.2,11.6,2,2.8,2.4,3.2,2.3,3.4,2.0,3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,22.1,18.8,24.7,18.3,25.9,17.1,26.9,4,84.7,72.1,97.9,68.2,101.9,61.8,109.1,1,11.5,9.4,13.2,8.8,14.0,8.2,14.5,1,25.9,22.8,30.0,22.0,30.9,20.7,32.0,20,156.7,134.7,179.2,128.2,187.1,118.0,197.8
2022,1,22.4,20.0,25.6,19.2,26.1,18.4,27.2,1,1.5,1.2,1.7,1.1,1.8,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,22.0,20.2,22.9,19.1,23.8,18.4,24.9,3,117.6,96.8,133.1,90.3,141.6,81.5,152.7,1,3.2,2.6,3.7,2.4,3.8,2.3,3.9,1,4.8,4.5,6.4,4.1,7.2,3.2,8.2,18,171.5,145.3,193.4,136.2,204.3,124.8,218.9
2023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
